stage,page_number,model,prompt_tokens,completion_tokens,total_tokens,prompt_cost_usd,completion_cost_usd,total_cost_usd
1,1,gpt-4o-2024-11-20,1259,276,1535,0.006294999999999999,0.0041400000000000005,0.010435
1,1,gpt-4o-2024-11-20,1259,268,1527,0.006294999999999999,0.00402,0.010315
1,1,gpt-4o-2024-11-20,1259,267,1526,0.006294999999999999,0.004005,0.0103
1,1,gpt-4o-2024-11-20,1259,238,1497,0.006294999999999999,0.00357,0.009864999999999999
1,1,gpt-4o-2024-11-20,1259,239,1498,0.006294999999999999,0.0035849999999999996,0.00988
1,1,gpt-4o-2024-11-20,1259,236,1495,0.006294999999999999,0.0035399999999999997,0.009835
1,1,gpt-4o-2024-11-20,1599,112,1711,0.007995,0.00168,0.009675
1,1,gpt-4o-2024-11-20,1599,112,1711,0.007995,0.00168,0.009675
1,1,gpt-4o-2024-11-20,1599,112,1711,0.007995,0.00168,0.009675
1,2,gpt-4o-2024-11-20,1259,246,1505,0.006294999999999999,0.0036899999999999997,0.009984999999999999
1,2,gpt-4o-2024-11-20,1259,246,1505,0.006294999999999999,0.0036899999999999997,0.009984999999999999
1,2,gpt-4o-2024-11-20,1259,246,1505,0.006294999999999999,0.0036899999999999997,0.009984999999999999
1,2,gpt-4o-2024-11-20,1259,314,1573,0.006294999999999999,0.00471,0.011005
1,2,gpt-4o-2024-11-20,1259,314,1573,0.006294999999999999,0.00471,0.011005
1,2,gpt-4o-2024-11-20,1259,314,1573,0.006294999999999999,0.00471,0.011005
1,2,gpt-4o-2024-11-20,1599,131,1730,0.007995,0.001965,0.00996
1,2,gpt-4o-2024-11-20,1599,131,1730,0.007995,0.001965,0.00996
1,2,gpt-4o-2024-11-20,1599,131,1730,0.007995,0.001965,0.00996
1,3,gpt-4o-2024-11-20,1259,339,1598,0.006294999999999999,0.005085,0.01138
1,3,gpt-4o-2024-11-20,1259,339,1598,0.006294999999999999,0.005085,0.01138
1,3,gpt-4o-2024-11-20,1259,339,1598,0.006294999999999999,0.005085,0.01138
1,3,gpt-4o-2024-11-20,1259,267,1526,0.006294999999999999,0.004005,0.0103
1,3,gpt-4o-2024-11-20,1259,269,1528,0.006294999999999999,0.004035,0.010329999999999999
1,3,gpt-4o-2024-11-20,1259,273,1532,0.006294999999999999,0.0040950000000000005,0.01039
1,3,gpt-4o-2024-11-20,1599,126,1725,0.007995,0.00189,0.009885
1,3,gpt-4o-2024-11-20,1599,126,1725,0.007995,0.00189,0.009885
1,3,gpt-4o-2024-11-20,1599,126,1725,0.007995,0.00189,0.009885
2,1,gpt-4o-2024-11-20,1976,622,2598,0.00988,0.00933,0.019209999999999998
2,2,gpt-4o-2024-11-20,2167,697,2864,0.010835,0.010454999999999999,0.021289999999999996
2,3,gpt-4o-2024-11-20,2306,744,3050,0.01153,0.01116,0.022690000000000002
3,1,gpt-4o-2024-11-20,5274,600,5874,0.02637,0.009,0.03537
3,2,gpt-4o-2024-11-20,5342,538,5880,0.026709999999999998,0.00807,0.03478
3,3,gpt-4o-2024-11-20,5387,581,5968,0.026934999999999997,0.008714999999999999,0.035649999999999994
